Freq,Gain,Phase
100.024,-17.21,-95.916
104.681,-16.81,-95.850
109.710,-16.40,-95.984
114.739,-16.01,-95.990
120.141,-15.61,-95.949
125.915,-15.20,-95.858
131.875,-14.80,-95.813
138.022,-14.40,-95.860
144.541,-14.00,-95.820
151.433,-13.59,-95.704
158.511,-13.19,-95.669
165.962,-12.79,-95.596
173.785,-12.40,-95.405
181.980,-12.00,-95.369
190.549,-11.60,-95.276
199.489,-11.21,-95.176
208.989,-10.80,-95.074
218.861,-10.40,-94.994
229.105,-10.01,-94.944
239.909,-9.617,-94.968
251.271,-9.215,-94.888
263.005,-8.822,-94.837
275.485,-8.419,-94.813
288.337,-8.026,-94.839
301.935,-7.630,-94.823
316.277,-7.226,-94.835
331.178,-6.831,-94.896
346.825,-6.430,-94.924
363.030,-6.036,-94.959
380.166,-5.637,-94.973
398.047,-5.240,-95.057
416.860,-4.841,-95.153
436.604,-4.442,-95.224
457.093,-4.045,-95.321
478.700,-3.647,-95.428
501.238,-3.251,-95.569
524.893,-2.853,-95.685
549.480,-2.459,-95.825
575.371,-2.061,-95.999
602.566,-1.664,-96.158
630.878,-1.269,-96.332
660.680,-0.872,-96.529
691.786,-0.476,-96.726
724.383,-0.082,-96.951
758.655,0.314,-97.176
794.418,0.709,-97.427
831.671,1.101,-97.673
870.973,1.496,-97.954
911.951,1.889,-98.246
954.978,2.281,-98.566
1000.054,2.674,-98.885
1047.179,3.066,-99.224
1096.539,3.456,-99.590
1148.134,3.845,-99.968
1202.337,4.236,-100.371
1258.962,4.622,-100.778
1318.194,5.009,-101.226
1380.406,5.395,-101.684
1445.413,5.780,-102.171
1513.585,6.164,-102.682
1584.925,6.545,-103.207
1659.617,6.926,-103.770
1737.848,7.305,-104.347
1819.618,7.680,-104.952
1905.486,8.056,-105.581
1995.265,8.428,-106.239
2089.329,8.799,-106.935
2187.677,9.166,-107.646
2290.867,9.532,-108.394
2398.901,9.894,-109.168
2511.963,10.253,-109.970
2630.241,10.608,-110.806
2754.293,10.961,-111.682
2884.120,11.309,-112.578
3019.907,11.652,-113.507
3162.213,11.991,-114.470
3311.224,12.326,-115.465
3467.314,12.656,-116.498
3630.854,12.980,-117.557
3801.845,13.298,-118.657
3981.031,13.611,-119.771
4168.786,13.918,-120.921
4365.109,14.217,-122.101
4570.931,14.509,-123.315
4786.253,14.794,-124.557
5011.819,15.072,-125.816
5248.003,15.342,-127.111
5495.362,15.603,-128.418
5754.456,15.857,-129.754
6025.657,16.102,-131.104
6309.524,16.337,-132.465
6606.989,16.564,-133.849
6918.237,16.782,-135.244
7244.386,16.991,-136.649
7585.809,17.191,-138.054
7943.250,17.382,-139.467
8317.642,17.563,-140.886
8709.729,17.735,-142.293
9120.069,17.899,-143.707
9549.968,18.053,-145.109
9999.983,18.200,-146.511
