Freq,Gain,Phase
100.024,0.138,-95.801
104.681,0.144,-95.994
109.710,0.151,-95.992
114.739,0.158,-95.917
120.141,0.166,-95.912
125.915,0.174,-95.891
131.875,0.182,-95.829
138.022,0.191,-95.839
144.541,0.200,-95.765
151.433,0.209,-95.769
158.511,0.219,-95.699
165.962,0.229,-95.586
173.785,0.240,-95.436
181.980,0.251,-95.326
190.549,0.263,-95.246
199.489,0.275,-95.142
208.989,0.288,-95.076
218.861,0.302,-95.094
229.105,0.316,-94.940
239.909,0.331,-94.910
251.271,0.346,-94.903
263.005,0.362,-94.827
275.485,0.379,-94.823
288.337,0.397,-94.837
301.935,0.416,-94.861
316.277,0.435,-94.817
331.178,0.456,-94.874
346.825,0.477,-94.906
363.030,0.499,-94.964
380.166,0.523,-94.996
398.047,0.547,-95.065
416.860,0.573,-95.133
436.604,0.600,-95.250
457.093,0.628,-95.357
478.700,0.657,-95.442
501.238,0.688,-95.559
524.893,0.720,-95.702
549.480,0.754,-95.834
575.371,0.789,-95.978
602.566,0.826,-96.165
630.878,0.864,-96.318
660.680,0.904,-96.520
691.786,0.946,-96.721
724.383,0.990,-96.946
758.655,1.037,-97.179
794.418,1.085,-97.420
831.671,1.135,-97.672
870.973,1.188,-97.946
911.951,1.243,-98.254
954.978,1.300,-98.572
1000.054,1.360,-98.874
1047.179,1.423,-99.234
1096.539,1.489,-99.584
1148.134,1.557,-99.973
1202.337,1.628,-100.365
1258.962,1.703,-100.783
1318.194,1.780,-101.219
1380.406,1.861,-101.684
1445.413,1.945,-102.169
1513.585,2.033,-102.681
1584.925,2.124,-103.212
1659.617,2.220,-103.768
1737.848,2.318,-104.342
1819.618,2.421,-104.947
1905.486,2.528,-105.585
1995.265,2.639,-106.243
2089.329,2.754,-106.924
2187.677,2.873,-107.649
2290.867,2.996,-108.391
2398.901,3.124,-109.168
2511.963,3.255,-109.977
2630.241,3.391,-110.809
2754.293,3.532,-111.677
2884.120,3.676,-112.579
3019.907,3.825,-113.509
3162.213,3.977,-114.474
3311.224,4.133,-115.477
3467.314,4.293,-116.500
3630.854,4.456,-117.570
3801.845,4.622,-118.654
3981.031,4.792,-119.765
4168.786,4.964,-120.925
4365.109,5.138,-122.102
4570.931,5.314,-123.308
4786.253,5.492,-124.554
5011.819,5.670,-125.816
5248.003,5.849,-127.104
5495.362,6.028,-128.413
5754.456,6.206,-129.758
6025.657,6.383,-131.102
6309.524,6.559,-132.471
6606.989,6.733,-133.847
6918.237,6.904,-135.240
7244.386,7.071,-136.643
7585.809,7.236,-138.049
7943.250,7.397,-139.457
8317.642,7.553,-140.884
8709.729,7.704,-142.295
9120.069,7.850,-143.714
9549.968,7.991,-145.113
9999.983,8.127,-146.504
